,,,,,,,,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES ("
1211,0,0,0,0,0,0,0,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1211,0,0,0,0,0,0,0, current_timestamp);"
1210,1,7,9,17,27,38,31,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1210,1,7,9,17,27,38,38, current_timestamp);"
1209,2,17,20,35,37,39,24,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1209,2,17,20,35,37,39,39, current_timestamp);"
1208,6,27,30,36,38,42,25,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1208,6,27,30,36,38,42,42, current_timestamp);"
1207,10,22,24,27,38,45,11,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1207,10,22,24,27,38,45,45, current_timestamp);"
1206,1,3,17,26,27,42,23,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1206,1,3,17,26,27,42,42, current_timestamp);"
1205,1,4,16,23,31,41,2,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1205,1,4,16,23,31,41,41, current_timestamp);"
1204,8,16,28,30,31,44,27,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1204,8,16,28,30,31,44,44, current_timestamp);"
1203,3,6,18,29,35,39,24,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1203,3,6,18,29,35,39,39, current_timestamp);"
1202,5,12,21,33,37,40,7,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1202,5,12,21,33,37,40,40, current_timestamp);"
1201,7,9,24,27,35,36,37,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1201,7,9,24,27,35,36,36, current_timestamp);"
1200,1,2,4,16,20,32,45,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1200,1,2,4,16,20,32,32, current_timestamp);"
1199,16,24,25,30,31,32,7,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1199,16,24,25,30,31,32,32, current_timestamp);"
1198,26,30,33,38,39,41,21,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1198,26,30,33,38,39,41,41, current_timestamp);"
1197,1,5,7,26,28,43,30,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1197,1,5,7,26,28,43,43, current_timestamp);"
1196,8,12,15,29,40,45,14,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1196,8,12,15,29,40,45,45, current_timestamp);"
1195,3,15,27,33,34,36,37,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1195,3,15,27,33,34,36,36, current_timestamp);"
1194,3,13,15,24,33,37,2,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1194,3,13,15,24,33,37,37, current_timestamp);"
1193,6,9,16,19,24,28,17,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1193,6,9,16,19,24,28,28, current_timestamp);"
1192,10,16,23,36,39,40,11,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1192,10,16,23,36,39,40,40, current_timestamp);"
1191,1,4,11,12,20,41,2,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1191,1,4,11,12,20,41,41, current_timestamp);"
1190,7,9,19,23,26,45,33,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1190,7,9,19,23,26,45,45, current_timestamp);"
1189,9,19,29,35,37,38,31,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1189,9,19,29,35,37,38,38, current_timestamp);"
1188,3,4,12,19,22,27,9,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1188,3,4,12,19,22,27,27, current_timestamp);"
1187,5,13,26,29,37,40,42,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1187,5,13,26,29,37,40,40, current_timestamp);"
1186,2,8,13,16,23,28,35,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1186,2,8,13,16,23,28,28, current_timestamp);"
1185,6,17,22,28,29,32,38,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1185,6,17,22,28,29,32,32, current_timestamp);"
1184,14,16,23,25,31,37,42,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1184,14,16,23,25,31,37,37, current_timestamp);"
1183,4,15,17,23,27,36,31,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1183,4,15,17,23,27,36,36, current_timestamp);"
1182,1,13,21,25,28,31,22,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1182,1,13,21,25,28,31,31, current_timestamp);"
1181,8,10,14,20,33,41,28,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1181,8,10,14,20,33,41,41, current_timestamp);"
1180,6,12,18,37,40,41,3,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1180,6,12,18,37,40,41,41, current_timestamp);"
1179,3,16,18,24,40,44,21,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1179,3,16,18,24,40,44,44, current_timestamp);"
1178,5,6,11,27,43,44,17,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1178,5,6,11,27,43,44,44, current_timestamp);"
1177,3,7,15,16,19,43,21,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1177,3,7,15,16,19,43,43, current_timestamp);"
1176,7,9,11,21,30,35,29,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1176,7,9,11,21,30,35,35, current_timestamp);"
1175,3,4,6,8,32,42,31,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1175,3,4,6,8,32,42,42, current_timestamp);"
1174,8,11,14,17,36,39,22,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1174,8,11,14,17,36,39,39, current_timestamp);"
1173,1,5,18,20,30,35,3,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1173,1,5,18,20,30,35,35, current_timestamp);"
1172,7,9,24,40,42,44,45,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1172,7,9,24,40,42,44,44, current_timestamp);"
1171,3,6,7,11,12,17,19,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1171,3,6,7,11,12,17,17, current_timestamp);"
1170,3,13,28,34,38,42,25,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1170,3,13,28,34,38,42,42, current_timestamp);"
1169,5,12,24,26,39,42,20,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1169,5,12,24,26,39,42,42, current_timestamp);"
1168,9,21,24,30,33,37,29,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1168,9,21,24,30,33,37,37, current_timestamp);"
1167,8,23,31,35,39,40,24,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1167,8,23,31,35,39,40,40, current_timestamp);"
1166,14,23,25,27,29,42,16,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1166,14,23,25,27,29,42,42, current_timestamp);"
1165,6,7,27,29,38,45,17,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1165,6,7,27,29,38,45,45, current_timestamp);"
1164,17,18,23,25,38,39,22,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1164,17,18,23,25,38,39,39, current_timestamp);"
1163,2,13,15,16,33,43,4,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1163,2,13,15,16,33,43,43, current_timestamp);"
1162,20,21,22,25,28,29,6,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1162,20,21,22,25,28,29,29, current_timestamp);"
1161,2,12,20,24,34,42,37,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1161,2,12,20,24,34,42,42, current_timestamp);"
1160,7,13,18,36,39,45,19,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1160,7,13,18,36,39,45,45, current_timestamp);"
1159,3,9,27,28,38,39,7,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1159,3,9,27,28,38,39,39, current_timestamp);"
1158,21,25,27,32,37,38,20,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1158,21,25,27,32,37,38,38, current_timestamp);"
1157,5,7,12,20,25,26,28,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1157,5,7,12,20,25,26,26, current_timestamp);"
1156,30,31,34,39,41,45,7,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1156,30,31,34,39,41,45,45, current_timestamp);"
1155,10,16,19,27,37,38,13,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1155,10,16,19,27,37,38,38, current_timestamp);"
1154,4,8,22,26,32,38,27,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1154,4,8,22,26,32,38,38, current_timestamp);"
1153,1,9,10,13,35,44,5,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1153,1,9,10,13,35,44,44, current_timestamp);"
1152,30,31,32,35,36,37,5,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1152,30,31,32,35,36,37,37, current_timestamp);"
1151,2,3,9,15,27,29,8,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1151,2,3,9,15,27,29,29, current_timestamp);"
1150,8,9,18,35,39,45,25,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1150,8,9,18,35,39,45,45, current_timestamp);"
1149,8,15,19,21,32,36,38,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1149,8,15,19,21,32,36,36, current_timestamp);"
1148,3,6,13,15,16,22,32,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1148,3,6,13,15,16,22,22, current_timestamp);"
1147,7,11,24,26,27,37,32,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1147,7,11,24,26,27,37,37, current_timestamp);"
1146,6,11,17,19,40,43,28,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1146,6,11,17,19,40,43,43, current_timestamp);"
1145,2,11,31,33,37,44,32,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1145,2,11,31,33,37,44,44, current_timestamp);"
1144,3,4,12,15,26,34,6,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1144,3,4,12,15,26,34,34, current_timestamp);"
1143,10,16,17,27,28,36,6,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1143,10,16,17,27,28,36,36, current_timestamp);"
1142,2,8,28,30,37,41,22,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1142,2,8,28,30,37,41,41, current_timestamp);"
1141,7,11,12,21,26,35,20,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1141,7,11,12,21,26,35,35, current_timestamp);"
1140,7,10,22,29,31,38,15,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1140,7,10,22,29,31,38,38, current_timestamp);"
1139,5,12,15,30,37,40,18,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1139,5,12,15,30,37,40,40, current_timestamp);"
1138,14,16,19,20,29,34,35,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1138,14,16,19,20,29,34,34, current_timestamp);"
1137,4,9,12,15,33,45,26,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1137,4,9,12,15,33,45,45, current_timestamp);"
